INDICATOR,VALUE,YEAR
AverageAnnualWaterStressScore,2.585,2020
AverageAnnualWaterStressScore,2.603,2021
AverageAnnualWaterStressScore,2.641,2022
AverageAnnualWaterStressScore,2.68,2023
AverageAnnualWaterStressScore,2.721,2024
AverageAnnualWaterStressScore,2.763,2025
AverageAnnualWaterStressScore,2.806,2026
AverageAnnualWaterStressScore,2.851,2027
AverageAnnualWaterStressScore,2.898,2028
AverageAnnualWaterStressScore,2.947,2029
AverageAnnualWaterStressScore,2.982,2030
AverageAnnualWaterStressScore,3.029,2031
AverageAnnualWaterStressScore,3.075,2032
AverageAnnualWaterStressScore,3.118,2033
AverageAnnualWaterStressScore,3.164,2034
AverageAnnualWaterStressScore,3.212,2035
AverageAnnualWaterStressScore,3.264,2036
AverageAnnualWaterStressScore,3.32,2037
AverageAnnualWaterStressScore,3.38,2038
AverageAnnualWaterStressScore,3.446,2039
AverageAnnualWaterStressScore,3.519,2040
AverageAnnualWaterStressScore,3.598,2041
AverageAnnualWaterStressScore,3.685,2042
AverageAnnualWaterStressScore,3.78,2043
AverageAnnualWaterStressScore,3.883,2044
AverageAnnualWaterStressScore,3.994,2045
AverageAnnualWaterStressScore,4.091,2046
AverageAnnualWaterStressScore,4.167,2047
AverageAnnualWaterStressScore,4.229,2048
AverageAnnualWaterStressScore,4.246,2049
AverageAnnualWaterStressScore,4.039,2050
